Name,Heteronyms
參,"參󠇡,參󠇢,參󠇣"
叅,"叅󠇡,叅󠇢,叅󠇣"
双,双󠇡
叏,叏󠇡
叔,叔󠇡
叚,叚󠇡
叜,叜󠇡
叠,叠󠇡
句,"句󠇡,句󠇢"
叧,"叧󠇡,叧󠇢"
叨,叨󠇡
召,召󠇡
可,可󠇡
台,台󠇡
叴,叴󠇡
号,号󠇡
叻,叻󠇡
吀,吀󠇡
吃,吃󠇡
各,各󠇡
合,合󠇡
同,同󠇡
吐,吐󠇡
吓,吓󠇡
吡,"吡󠇡,吡󠇢"
否,否󠇡
吧,吧󠇡
吨,吨󠇡
听,"听󠇡,听󠇢"
吭,吭󠇡
吽,"吽󠇡,吽󠇢"
吿,吿󠇡
呀,"呀󠇡,呀󠇢"
告,告󠇡
呐,呐󠇡
呔,呔󠇡
呞,呞󠇡
呡,呡󠇡
呢,呢󠇡
呫,呫󠇡
呬,呬󠇡
呱,"呱󠇡,呱󠇢"
呴,呴󠇡
呵,呵󠇡
呺,呺󠇡
呾,呾󠇡
咇,"咇󠇡,咇󠇢,咇󠇣"
咊,"咊󠇡,咊󠇢,咊󠇣,咊󠇤,咊󠇥"
和,"和󠇡,和󠇢,和󠇣,和󠇤,和󠇥"
咎,咎󠇡
咑,咑󠇡
咔,咔󠇡
咕,咕󠇡
咠,咠󠇡
咣,咣󠇡
咤,咤󠇡
咥,咥󠇡
咧,"咧󠇡,咧󠇢,咧󠇣"
咬,咬󠇡
咯,"咯󠇡,咯󠇢,咯󠇣"
咰,咰󠇡
咱,咱󠇡
咳,咳󠇡
咶,"咶󠇡,咶󠇢"
咻,"咻󠇡,咻󠇢"
咽,咽󠇡
哄,哄󠇡
哆,哆󠇡
哇,哇󠇡
哈,"哈󠇡,哈󠇢"
哏,哏󠇡
員,員󠇡
哢,哢󠇡
哥,哥󠇡
哦,哦󠇡
哩,"哩󠇡,哩󠇢"
哪,"哪󠇡,哪󠇢"
哶,哶󠇡
哾,哾󠇡
哿,哿󠇡
唄,唄󠇡
唅,唅󠇡
唆,唆󠇡
唇,唇󠇡
唈,唈󠇡
唋,唋󠇡
唌,唌󠇡
唒,唒󠇡
唖,"唖󠇡,唖󠇢"
唭,唭󠇡
唶,"唶󠇡,唶󠇢"
唹,唹󠇡
唼,"唼󠇡,唼󠇢"
唿,唿󠇡
啇,啇󠇡
啊,啊󠇡
啌,啌󠇡
啐,"啐󠇡,啐󠇢"
啑,啑󠇡
啒,啒󠇡
啚,啚󠇡
啞,啞󠇡
啦,啦󠇡
啨,啨󠇡
啵,啵󠇡
啷,啷󠇡
喁,喁󠇡
喌,喌󠇡
喏,喏󠇡
喒,喒󠇡
喔,"喔󠇡,喔󠇢"
喝,喝󠇡
喞,喞󠇡
喡,喡󠇡
喥,喥󠇡
喦,喦󠇡
喩,喩󠇡
喪,喪󠇡
單,"單󠇡,單󠇢"
喯,"喯󠇡,喯󠇢"
喿,喿󠇡
嗄,嗄󠇡
嗌,嗌󠇡
嗎,嗎󠇡
嗏,嗏󠇡
嗑,嗑󠇡
嗒,嗒󠇡
嗕,嗕󠇡
嗛,"嗛󠇡,嗛󠇢,嗛󠇣"
嗦,嗦󠇡
嗺,嗺󠇡
嗻,嗻󠇡
嘅,嘅󠇡
嘇,"嘇󠇡,嘇󠇢"
嘊,嘊󠇡
嘍,嘍󠇡
嘏,嘏󠇡
嘑,嘑󠇡
嘔,"嘔󠇡,嘔󠇢"
嘛,嘛󠇡
嘜,"嘜󠇡,嘜󠇢"
嘞,嘞󠇡
嘩,嘩󠇡
嘬,嘬󠇡
嘷,嘷󠇡
嘸,嘸󠇡
嘼,"嘼󠇡,嘼󠇢,嘼󠇣"
嘽,嘽󠇡
嘾,嘾󠇡
噀,噀󠇡
噅,噅󠇡
噌,噌󠇡
噍,"噍󠇡,噍󠇢"
噑,噑󠇡
噟,噟󠇡
噠,噠󠇡
噢,噢󠇡
噣,噣󠇡
噥,噥󠇡
噦,噦󠇡
噭,噭󠇡
噱,噱󠇡
噴,"噴󠇡,噴󠇢"
噹,噹󠇡
嚂,嚂󠇡
嚄,嚄󠇡
嚇,嚇󠇡
嚊,嚊󠇡
嚋,嚋󠇡
嚛,嚛󠇡
嚜,嚜󠇡
嚪,嚪󠇡
嚯,"嚯󠇡,嚯󠇢"
嚻,嚻󠇡
嚼,嚼󠇡
囉,"囉󠇡,囉󠇢"
囐,"囐󠇡,囐󠇢,囐󠇣"
囤,囤󠇡
囪,囪󠇡
囮,囮󠇡
囱,囱󠇡
囸,囸󠇡
圂,圂󠇡
圈,圈󠇡
圏,"圏󠇡,圏󠇢,圏󠇣"
圜,圜󠇡
圣,圣󠇡
圩,圩󠇡
地,地󠇡
圳,圳󠇡
圻,圻󠇡
坃,坃󠇡
坆,坆󠇡
坉,坉󠇡
坊,坊󠇡
坏,"坏󠇡,坏󠇢"
坔,坔󠇡
坘,坘󠇡
坟,坟󠇡
坧,坧󠇡
坭,坭󠇡
坳,坳󠇡
坴,坴󠇡
坶,坶󠇡
坺,坺󠇡
坻,坻󠇡
垌,垌󠇡
垖,垖󠇡
垛,垛󠇡
垜,垜󠇡
垧,垧󠇡
垨,垨󠇡
埊,埊󠇡
埋,埋󠇡
埏,埏󠇡
埛,埛󠇡
埞,埞󠇡
埢,埢󠇡
埤,"埤󠇡,埤󠇢"
埥,埥󠇡
埧,埧󠇡
埯,埯󠇡
埲,埲󠇡
埶,埶󠇡
培,培󠇡
埽,埽󠇡
埿,"埿󠇡,埿󠇢"
堇,堇󠇡
堋,堋󠇡
堢,堢󠇡
堥,堥󠇡
堨,堨󠇡
堵,堵󠇡
堷,堷󠇡
堾,堾󠇡
堿,堿󠇡
塈,塈󠇡
塐,塐󠇡
塙,塙󠇡
塞,"塞󠇡,塞󠇢"
塠,塠󠇡
塤,塤󠇡
塩,塩󠇡
塪,塪󠇡
塲,塲󠇡
塴,塴󠇡
塺,塺󠇡
墌,墌󠇡
墍,墍󠇡
墐,墐󠇡
墕,墕󠇡
墢,墢󠇡
墧,"墧󠇡,墧󠇢"
墫,"墫󠇡,墫󠇢"
墬,墬󠇡
墲,墲󠇡
壀,"壀󠇡,壀󠇢"
壊,壊󠇡
壎,壎󠇡
壏,壏󠇡
壐,壐󠇡
壒,壒󠇡
壘,壘󠇡
壦,壦󠇡
壳,"壳󠇡,壳󠇢"
处,处󠇡
夅,夅󠇡
复,复󠇡
夎,夎󠇡
夏,夏󠇡
夐,夐󠇡
夓,夓󠇡
多,多󠇡
夛,夛󠇡
大,大󠇡
太,太󠇡
夫,"夫󠇡,夫󠇢"
头,头󠇡
夵,夵󠇡
夶,"夶󠇡,夶󠇢"
奄,奄󠇡
奇,奇󠇡
奋,奋󠇡
契,契󠇡
奓,"奓󠇡,奓󠇢"
奙,奙󠇡
奞,"奞󠇡,奞󠇢"
奥,奥󠇡
女,女󠇡
奶,奶󠇡
好,好󠇡
妋,妋󠇡
妏,妏󠇡
妚,妚󠇡
妳,妳󠇡
妴,妴󠇡
妸,妸󠇡
妹,妹󠇡
妻,妻󠇡
姇,姇󠇡
姉,姉󠇡
姊,"姊󠇡,姊󠇢"
姐,姐󠇡
姑,姑󠇡
委,委󠇡
姗,姗󠇡
姙,姙󠇡
姛,姛󠇡
姡,"姡󠇡,姡󠇢"
姣,姣󠇡
姥,"姥󠇡,姥󠇢"
姰,姰󠇡
姶,姶󠇡
娂,"娂󠇡,娂󠇢"
娃,娃󠇡
娄,"娄󠇡,娄󠇢"
娋,娋󠇡
娕,娕󠇡
娗,娗󠇡
娘,娘󠇡
娜,娜󠇡
娞,娞󠇡
娦,娦󠇡
娩,娩󠇡
娬,娬󠇡
娯,娯󠇡
娱,娱󠇡
娷,"娷󠇡,娷󠇢"
娺,娺󠇡
娾,娾󠇡
婁,婁󠇡
婆,婆󠇡
婌,婌󠇡
婙,"婙󠇡,婙󠇢"
婤,婤󠇡
婩,婩󠇡
婯,婯󠇡
婱,婱󠇡
婸,婸󠇡
婼,婼󠇡
媀,媀󠇡
媇,媇󠇡
媊,媊󠇡
媌,媌󠇡
媔,媔󠇡
媕,媕󠇡
媪,媪󠇡
媮,媮󠇡
媰,媰󠇡
媽,媽󠇡
嫂,嫂󠇡
嫇,嫇󠇡
嫍,嫍󠇡
嫎,嫎󠇡
嫖,嫖󠇡
嫞,嫞󠇡
嫤,嫤󠇡
嫧,嫧󠇡
嫨,嫨󠇡
嫬,嫬󠇡
嬀,"嬀󠇡,嬀󠇢"
嬈,"嬈󠇡,嬈󠇢"
嬊,嬊󠇡
嬐,嬐󠇡
嬒,嬒󠇡
嬓,嬓󠇡
嬔,嬔󠇡
嬛,"嬛󠇡,嬛󠇢"
嬜,嬜󠇡
嬟,嬟󠇡
嬢,嬢󠇡
嬣,嬣󠇡
嬤,嬤󠇡
嬥,嬥󠇡
嬮,嬮󠇡
嬱,嬱󠇡
嬷,嬷󠇡
嬸,嬸󠇡
嬹,嬹󠇡
嬼,嬼󠇡
孂,孂󠇡
孈,孈󠇡
孉,孉󠇡
孎,孎󠇡
子,子󠇡
孒,孒󠇡
字,字󠇡
孛,孛󠇡
孨,孨󠇡
孹,孹󠇡
宆,宆󠇡
宊,宊󠇡
宍,宍󠇡
