Name,Heteronyms
杓,杓󠇡
杕,杕󠇡
条,条󠇡
来,来󠇡
杫,"杫󠇡,杫󠇢"
杬,杬󠇡
杷,杷󠇡
杺,杺󠇡
杻,杻󠇡
枃,枃󠇡
枓,枓󠇡
枕,枕󠇡
枙,枙󠇡
枢,枢󠇡
枳,枳󠇡
枸,"枸󠇡,枸󠇢"
柁,柁󠇡
柈,柈󠇡
柉,"柉󠇡,柉󠇢"
柎,柎󠇡
某,某󠇡
柕,柕󠇡
柜,柜󠇡
柞,柞󠇡
柣,柣󠇡
查,查󠇡
柫,柫󠇡
柭,柭󠇡
柷,柷󠇡
査,査󠇡
柼,柼󠇡
柾,柾󠇡
栅,栅󠇡
栕,"栕󠇡,栕󠇢"
栖,栖󠇡
栟,栟󠇡
校,校󠇡
栢,栢󠇡
栨,栨󠇡
栯,栯󠇡
栰,栰󠇡
桁,"桁󠇡,桁󠇢"
桄,桄󠇡
桔,桔󠇡
桬,桬󠇡
桭,桭󠇡
桯,桯󠇡
梜,梜󠇡
梡,梡󠇡
梤,梤󠇡
梫,梫󠇡
梬,梬󠇡
梹,梹󠇡
棅,棅󠇡
棊,棊󠇡
棑,棑󠇡
棓,棓󠇡
棞,棞󠇡
棤,棤󠇡
棲,棲󠇡
棹,棹󠇡
椉,椉󠇡
椊,椊󠇡
椎,椎󠇡
椑,椑󠇡
椮,"椮󠇡,椮󠇢"
椯,椯󠇡
椹,椹󠇡
楁,楁󠇡
楂,楂󠇡
楄,楄󠇡
楅,楅󠇡
楏,楏󠇡
楖,楖󠇡
楗,楗󠇡
楙,楙󠇡
楛,楛󠇡
楞,楞󠇡
楪,楪󠇡
楬,楬󠇡
楽,"楽󠇡,楽󠇢,楽󠇣"
榃,榃󠇡
榗,榗󠇡
榙,榙󠇡
榜,榜󠇡
榝,榝󠇡
榦,榦󠇡
榽,榽󠇡
槍,槍󠇡
様,様󠇡
槣,槣󠇡
槩,槩󠇡
槪,槪󠇡
槮,槮󠇡
槶,"槶󠇡,槶󠇢"
槷,槷󠇡
樀,樀󠇡
樂,"樂󠇡,樂󠇢"
樅,樅󠇡
樘,樘󠇡
樢,樢󠇡
樤,樤󠇡
樧,樧󠇡
横,横󠇡
樷,樷󠇡
樿,樿󠇡
橁,橁󠇡
橃,橃󠇡
橅,橅󠇡
橊,橊󠇡
橎,橎󠇡
橔,橔󠇡
橦,"橦󠇡,橦󠇢"
橨,橨󠇡
橫,橫󠇡
橭,橭󠇡
橶,橶󠇡
橾,"橾󠇡,橾󠇢"
檆,檆󠇡
檏,檏󠇡
檐,檐󠇡
檡,"檡󠇡,檡󠇢"
檱,檱󠇡
檷,檷󠇡
檻,檻󠇡
櫀,櫀󠇡
櫂,櫂󠇡
櫄,櫄󠇡
櫎,"櫎󠇡,櫎󠇢"
櫑,櫑󠇡
櫒,櫒󠇡
櫕,"櫕󠇡,櫕󠇢"
櫟,櫟󠇡
櫡,櫡󠇡
櫭,櫭󠇡
櫾,櫾󠇡
欉,欉󠇡
欘,欘󠇡
欚,欚󠇡
欦,"欦󠇡,欦󠇢"
欬,欬󠇡
欳,欳󠇡
欴,欴󠇡
欶,欶󠇡
欸,欸󠇡
欹,欹󠇡
欻,"欻󠇡,欻󠇢"
歂,歂󠇡
歕,歕󠇡
歘,"歘󠇡,歘󠇢,歘󠇣,歘󠇤"
歙,歙󠇡
歝,歝󠇡
歞,歞󠇡
正,正󠇡
歪,歪󠇡
歭,歭󠇡
歺,歺󠇡
殌,殌󠇡
殟,殟󠇡
殠,殠󠇡
殡,殡󠇡
殣,殣󠇡
殨,殨󠇡
殷,"殷󠇡,殷󠇢"
殸,"殸󠇡,殸󠇢"
殺,殺󠇡
殻,"殻󠇡,殻󠇢"
毃,毃󠇡
毌,毌󠇡
比,比󠇡
毡,毡󠇡
毹,毹󠇡
毺,毺󠇡
氂,氂󠇡
氊,氊󠇡
氏,氏󠇡
氓,氓󠇡
氕,氕󠇡
氝,氝󠇡
氬,氬󠇡
氵,氵󠇡
氶,氶󠇡
氷,氷󠇡
氼,氼󠇡
汃,汃󠇡
汆,汆󠇡
汗,汗󠇡
汚,"汚󠇡,汚󠇢,汚󠇣,汚󠇤"
汦,汦󠇡
汩,汩󠇡
汫,"汫󠇡,汫󠇢"
汵,"汵󠇡,汵󠇢"
沑,沑󠇡
沒,沒󠇡
没,没󠇡
沬,沬󠇡
沮,"沮󠇡,沮󠇢"
沯,沯󠇡
沱,沱󠇡
沵,沵󠇡
治,治󠇡
泃,泃󠇡
泄,泄󠇡
泌,泌󠇡
泍,泍󠇡
泎,泎󠇡
法,法󠇡
泞,泞󠇡
泡,泡󠇡
泥,泥󠇡
洂,洂󠇡
洒,"洒󠇡,洒󠇢,洒󠇣"
洗,洗󠇡
洙,洙󠇡
洞,洞󠇡
洦,洦󠇡
洩,洩󠇡
洮,洮󠇡
洳,洳󠇡
洹,洹󠇡
洼,洼󠇡
浀,浀󠇡
浅,浅󠇡
浟,浟󠇡
浧,浧󠇡
浲,"浲󠇡,浲󠇢"
浻,浻󠇡
涆,涆󠇡
涍,涍󠇡
涒,"涒󠇡,涒󠇢"
涛,涛󠇡
涱,涱󠇡
涷,涷󠇡
涼,涼󠇡
淁,淁󠇡
淊,淊󠇡
淛,淛󠇡
淜,淜󠇡
淠,淠󠇡
淡,淡󠇡
淢,淢󠇡
淰,淰󠇡
淲,淲󠇡
混,"混󠇡,混󠇢"
淺,淺󠇡
淾,淾󠇡
淿,淿󠇡
渂,渂󠇡
渇,"渇󠇡,渇󠇢"
済,済󠇡
渦,渦󠇡
渫,渫󠇡
渮,渮󠇡
渴,渴󠇡
渷,渷󠇡
渾,渾󠇡
湁,湁󠇡
湐,湐󠇡
湛,"湛󠇡,湛󠇢"
湡,湡󠇡
湫,湫󠇡
湬,湬󠇡
湯,湯󠇡
溗,溗󠇡
溜,溜󠇡
溦,溦󠇡
溹,溹󠇡
滆,滆󠇡
滍,滍󠇡
滎,滎󠇡
滑,滑󠇡
滝,滝󠇡
滨,滨󠇡
滰,滰󠇡
滽,滽󠇡
漀,漀󠇡
漂,"漂󠇡,漂󠇢"
漚,漚󠇡
漧,漧󠇡
漨,"漨󠇡,漨󠇢"
漯,漯󠇡
漲,漲󠇡
漴,"漴󠇡,漴󠇢"
漺,漺󠇡
漿,漿󠇡
潃,潃󠇡
潄,潄󠇡
潎,潎󠇡
潒,潒󠇡
潙,"潙󠇡,潙󠇢"
潜,潜󠇡
潠,潠󠇡
潦,"潦󠇡,潦󠇢"
潧,潧󠇡
潨,潨󠇡
潪,潪󠇡
潬,潬󠇡
澄,澄󠇡
澅,澅󠇡
澋,澋󠇡
澎,澎󠇡
澑,澑󠇡
澖,澖󠇡
澠,澠󠇡
澣,澣󠇡
澩,澩󠇡
澵,澵󠇡
澷,澷󠇡
澹,澹󠇡
濅,濅󠇡
濆,濆󠇡
濊,"濊󠇡,濊󠇢"
濕,"濕󠇡,濕󠇢"
濚,濚󠇡
濟,濟󠇡
濢,濢󠇡
濭,濭󠇡
濳,濳󠇡
濴,濴󠇡
濵,濵󠇡
濺,濺󠇡
濻,濻󠇡
濼,"濼󠇡,濼󠇢"
瀁,瀁󠇡
瀐,瀐󠇡
瀑,瀑󠇡
瀓,瀓󠇡
瀢,"瀢󠇡,瀢󠇢"
瀥,瀥󠇡
瀧,瀧󠇡
瀴,"瀴󠇡,瀴󠇢"
瀹,瀹󠇡
瀼,瀼󠇡
瀾,瀾󠇡
灂,灂󠇡
灇,灇󠇡
灋,"灋󠇡,灋󠇢,灋󠇣"
灓,灓󠇡
灗,灗󠇡
灥,"灥󠇡,灥󠇢"
灦,灦󠇡
灲,"灲󠇡,灲󠇢"
灺,灺󠇡
炅,炅󠇡
炌,炌󠇡
炔,"炔󠇡,炔󠇢"
炖,炖󠇡
炛,"炛󠇡,炛󠇢,炛󠇣"
炧,"炧󠇡,炧󠇢,炧󠇣"
炨,"炨󠇡,炨󠇢,炨󠇣"
炪,炪󠇡
炮,"炮󠇡,炮󠇢"
炲,炲󠇡
炵,"炵󠇡,炵󠇢"
炸,炸󠇡
為,為󠇡
炾,炾󠇡
烇,烇󠇡
烙,烙󠇡
烛,烛󠇡
烠,烠󠇡
烲,烲󠇡
烴,烴󠇡
烻,烻󠇡
焅,焅󠇡
焆,焆󠇡
焈,焈󠇡
焍,焍󠇡
焏,焏󠇡
無,無󠇡
焥,焥󠇡
焫,焫󠇡
煊,煊󠇡
煔,煔󠇡
煗,煗󠇡
煞,煞󠇡
煟,煟󠇡
煠,煠󠇡
煣,煣󠇡
煴,煴󠇡
煿,煿󠇡
熅,熅󠇡
熇,"熇󠇡,熇󠇢"
熈,熈󠇡
熉,熉󠇡
熋,熋󠇡
熑,熑󠇡
熜,熜󠇡
熣,熣󠇡
熨,熨󠇡
熫,熫󠇡
熭,熭󠇡
熮,熮󠇡
熵,熵󠇡
燀,燀󠇡
燅,燅󠇡
燉,燉󠇡
燌,燌󠇡
燓,燓󠇡
燕,燕󠇡
燚,燚󠇡
燜,燜󠇡
燥,燥󠇡
燫,燫󠇡
燺,"燺󠇡,燺󠇢"
燾,燾󠇡
爀,"爀󠇡,爀󠇢"
爁,爁󠇡
爄,爄󠇡
爇,爇󠇡
爈,爈󠇡
爋,爋󠇡
爒,爒󠇡
爕,爕󠇡
爗,爗󠇡
爙,爙󠇡
爚,爚󠇡
爞,爞󠇡
爠,爠󠇡
爡,爡󠇡
爪,爪󠇡
爫,爫󠇡
爲,爲󠇡
父,"父󠇡,父󠇢"
爸,爸󠇡
爹,爹󠇡
爺,爺󠇡
爿,爿󠇡
牅,牅󠇡
牑,牑󠇡
牞,牞󠇡
牟,牟󠇡
牰,牰󠇡
犇,犇󠇡
犍,犍󠇡
犞,"犞󠇡,犞󠇢"
犩,犩󠇡
犴,犴󠇡
犿,犿󠇡
狅,"狅󠇡,狅󠇢"
狊,狊󠇡
狌,狌󠇡
狑,狑󠇡
狔,狔󠇡
狘,狘󠇡
狢,"狢󠇡,狢󠇢,狢󠇣,狢󠇤"
狤,狤󠇡
狥,狥󠇡
狪,狪󠇡
猈,猈󠇡
猕,猕󠇡
猗,"猗󠇡,猗󠇢"
猩,猩󠇡
猭,猭󠇡
猲,猲󠇡
猵,猵󠇡
猼,猼󠇡
獆,獆󠇡
獋,獋󠇡
獌,獌󠇡
獔,獔󠇡
獖,獖󠇡
獛,獛󠇡
獞,獞󠇡
獥,"獥󠇡,獥󠇢"
獳,"獳󠇡,獳󠇢"
玆,玆󠇡
率,率󠇡
玊,玊󠇡
王,王󠇡
玐,玐󠇡
玒,玒󠇡
玜,玜󠇡
玢,玢󠇡
玧,玧󠇡
玭,"玭󠇡,玭󠇢"
玺,玺󠇡
珏,珏󠇡
珐,珐󠇡
珢,珢󠇡
珶,珶󠇡
琄,琄󠇡
琘,琘󠇡
琠,琠󠇡
瑉,瑉󠇡
瑌,瑌󠇡
瑒,瑒󠇡
瑳,瑳󠇡
瑴,瑴󠇡
璖,璖󠇡
璚,璚󠇡
璝,璝󠇡
璯,璯󠇡
璷,璷󠇡
璹,璹󠇡
瓋,瓋󠇡
瓌,瓌󠇡
瓗,瓗󠇡
瓟,瓟󠇡
瓦,瓦󠇡
瓨,"瓨󠇡,瓨󠇢"
瓹,瓹󠇡
瓽,瓽󠇡
甀,甀󠇡
甐,甐󠇡
甔,甔󠇡
甚,甚󠇡
甝,甝󠇡
甮,甮󠇡
甯,甯󠇡
町,町󠇡
甾,甾󠇡
畂,畂󠇡
畆,畆󠇡
畊,畊󠇡
畗,畗󠇡
畜,畜󠇡
畞,畞󠇡
畡,畡󠇡
畨,"畨󠇡,畨󠇢"
番,番󠇡
畬,畬󠇡
畭,畭󠇡
畮,畮󠇡
畲,畲󠇡
當,當󠇡
疈,疈󠇡
疉,疉󠇡
疌,疌󠇡
疎,"疎󠇡,疎󠇢"
疘,疘󠇡
痑,"痑󠇡,痑󠇢"
痒,痒󠇡
痭,痭󠇡
痺,痺󠇡
瘂,"瘂󠇡,瘂󠇢"
瘈,"瘈󠇡,瘈󠇢"
瘌,瘌󠇡
瘑,瘑󠇡
瘥,瘥󠇡
瘩,瘩󠇡
瘶,瘶󠇡
瘻,瘻󠇡
瘽,瘽󠇡
癄,癄󠇡
癉,癉󠇡
癐,癐󠇡
癑,癑󠇡
癛,癛󠇡
癟,癟󠇡
癵,癵󠇡
癹,癹󠇡
百,百󠇡
的,"的󠇡,的󠇢"
皅,皅󠇡
皍,皍󠇡
皐,皐󠇡
皛,"皛󠇡,皛󠇢"
皡,皡󠇡
皥,皥󠇡
盇,盇󠇡
盋,盋󠇡
盓,盓󠇡
盖,"盖󠇡,盖󠇢"
盛,盛󠇡
監,監󠇡
盫,盫󠇡
盯,盯󠇡
盰,盰󠇡
盷,盷󠇡
相,相󠇡
省,省󠇡
看,看󠇡
眗,眗󠇡
眙,眙󠇡
眯,眯󠇡
眳,眳󠇡
眽,眽󠇡
眿,眿󠇡
着,"着󠇡,着󠇢,着󠇣,着󠇤"
睔,睔󠇡
睖,睖󠇡
睘,睘󠇡
睚,睚󠇡
睪,睪󠇡
睱,睱󠇡
睻,睻󠇡
瞀,瞀󠇡
瞃,瞃󠇡
瞉,瞉󠇡
瞑,瞑󠇡
瞜,瞜󠇡
瞡,瞡󠇡
瞨,瞨󠇡
瞭,瞭󠇡
瞶,瞶󠇡
瞿,瞿󠇡
矁,矁󠇡
矇,矇󠇡
矊,矊󠇡
矌,矌󠇡
矎,矎󠇡
矕,矕󠇡
矝,矝󠇡
矠,矠󠇡
矱,矱󠇡
石,石󠇡
矵,矵󠇡
矼,矼󠇡
砇,砇󠇡
砊,砊󠇡
砌,砌󠇡
砏,砏󠇡
砕,砕󠇡
砟,砟󠇡
砢,砢󠇡
砫,砫󠇡
砳,砳󠇡
硄,硄󠇡
硈,硈󠇡
硊,硊󠇡
硌,硌󠇡
硍,"硍󠇡,硍󠇢"
硏,硏󠇡
硑,硑󠇡
硧,硧󠇡
硪,硪󠇡
硽,硽󠇡
碁,碁󠇡
碂,碂󠇡
碆,碆󠇡
碈,碈󠇡
碊,"碊󠇡,碊󠇢"
碖,碖󠇡
碪,碪󠇡
碿,碿󠇡
磅,磅󠇡
磆,磆󠇡
磍,磍󠇡
磎,磎󠇡
磑,磑󠇡
磒,"磒󠇡,磒󠇢"
磓,磓󠇡
磜,磜󠇡
磢,磢󠇡
磤,磤󠇡
磨,磨󠇡
磻,磻󠇡
礉,礉󠇡
礊,礊󠇡
礍,礍󠇡
礔,礔󠇡
礛,礛󠇡
礟,"礟󠇡,礟󠇢"
礧,礧󠇡
礮,"礮󠇡,礮󠇢"
祇,祇󠇡
祋,祋󠇡
祌,祌󠇡
祕,祕󠇡
祢,祢󠇡
祩,祩󠇡
祬,祬󠇡
祭,祭󠇡
祳,祳󠇡
祴,祴󠇡
祾,祾󠇡
禀,"禀󠇡,禀󠇢,禀󠇣"
禁,禁󠇡
禪,禪󠇡
禰,禰󠇡
禶,禶󠇡
禺,"禺󠇡,禺󠇢"
离,离󠇡
秎,秎󠇡
秔,秔󠇡
秘,秘󠇡
秤,秤󠇡
秮,秮󠇡
称,"称󠇡,称󠇢"
秸,秸󠇡
稉,稉󠇡
稫,稫󠇡
稭,稭󠇡
種,種󠇡
稱,稱󠇡
稴,"稴󠇡,稴󠇢"
稵,稵󠇡
稽,稽󠇡
穪,"穪󠇡,穪󠇢"
穳,穳󠇡
穵,穵󠇡
空,空󠇡
窌,窌󠇡
窐,窐󠇡
窢,"窢󠇡,窢󠇢"
窨,窨󠇡
窶,窶󠇡
窼,窼󠇡
竒,竒󠇡
竘,竘󠇡
竜,竜󠇡
竢,竢󠇡
竩,竩󠇡
竷,竷󠇡
竾,"竾󠇡,竾󠇢"
笅,笅󠇡
笜,笜󠇡
笟,笟󠇡
笧,笧󠇡
笮,笮󠇡
筂,"筂󠇡,筂󠇢"
答,答󠇡
筣,筣󠇡
筫,筫󠇡
筴,筴󠇡
箁,"箁󠇡,箁󠇢,箁󠇣"
箄,箄󠇡
箎,箎󠇡
箐,箐󠇡
箑,箑󠇡
箞,箞󠇡
箤,箤󠇡
箲,箲󠇡
箷,箷󠇡
篣,篣󠇡
篬,篬󠇡
篭,篭󠇡
篸,"篸󠇡,篸󠇢"
篹,"篹󠇡,篹󠇢"
篿,篿󠇡
簉,簉󠇡
簛,簛󠇡
簢,簢󠇡
簥,簥󠇡
簬,簬󠇡
簴,簴󠇡
簸,簸󠇡
簻,簻󠇡
簼,簼󠇡
籔,籔󠇡
籗,籗󠇡
籧,籧󠇡
籭,籭󠇡
籹,"籹󠇡,籹󠇢"
籺,籺󠇡
粆,粆󠇡
粌,粌󠇡
粘,粘󠇡
粥,"粥󠇡,粥󠇢"
糃,糃󠇡
糅,糅󠇡
糉,糉󠇡
糑,糑󠇡
糡,糡󠇡
糦,糦󠇡
糷,糷󠇡
糺,糺󠇡
糽,糽󠇡
紅,紅󠇡
紑,紑󠇡
紒,紒󠇡
紝,紝󠇡
紥,紥󠇡
紬,紬󠇡
累,累󠇡
紶,紶󠇡
紾,紾󠇡
絍,絍󠇡
結,"結󠇡,結󠇢,結󠇣"
絚,絚󠇡
絟,絟󠇡
絡,絡󠇡
給,給󠇡
絭,絭󠇡
絯,絯󠇡
綅,綅󠇡
綇,綇󠇡
綕,綕󠇡
綘,綘󠇡
綝,綝󠇡
綮,綮󠇡
綳,"綳󠇡,綳󠇢"
綸,綸󠇡
緀,緀󠇡
緁,"緁󠇡,緁󠇢"
緂,緂󠇡
緑,緑󠇡
緤,緤󠇡
緫,緫󠇡
緰,緰󠇡
緳,緳󠇡
緶,緶󠇡
緷,緷󠇡
緺,"緺󠇡,緺󠇢"
緼,緼󠇡
緽,緽󠇡
縁,縁󠇡
縒,縒󠇡
縖,縖󠇡
縘,縘󠇡
縙,"縙󠇡,縙󠇢"
縡,縡󠇡
縦,"縦󠇡,縦󠇢"
縧,縧󠇡
縫,縫󠇡
縯,縯󠇡
縱,縱󠇡
縸,縸󠇡
繁,繁󠇡
繂,繂󠇡
繃,"繃󠇡,繃󠇢"
繆,"繆󠇡,繆󠇢"
繌,繌󠇡
繏,繏󠇡
繓,繓󠇡
繜,繜󠇡
繦,繦󠇡
繨,繨󠇡
繫,繫󠇡
繮,繮󠇡
繯,繯󠇡
繰,繰󠇡
繳,繳󠇡
繵,繵󠇡
繷,繷󠇡
繺,繺󠇡
繻,繻󠇡
纅,纅󠇡
纎,纎󠇡
纗,纗󠇡
纛,纛󠇡
纝,纝󠇡
缷,缷󠇡
缻,缻󠇡
罊,罊󠇡
罘,罘󠇡
罢,"罢󠇡,罢󠇢"
罤,罤󠇡
罧,"罧󠇡,罧󠇢"
罫,罫󠇡
署,署󠇡
罷,"罷󠇡,罷󠇢"
罿,罿󠇡
羋,羋󠇡
羍,羍󠇡
羛,羛󠇡
羥,"羥󠇡,羥󠇢"
羧,羧󠇡
羫,羫󠇡
羬,羬󠇡
羮,羮󠇡
羰,羰󠇡
羾,羾󠇡
翇,翇󠇡
翍,翍󠇡
翏,翏󠇡
翖,翖󠇡
翛,翛󠇡
翟,翟󠇡
翢,翢󠇡
翵,翵󠇡
翹,翹󠇡
翿,翿󠇡
耊,"耊󠇡,耊󠇢"
耏,耏󠇡
耑,耑󠇡
耡,耡󠇡
耤,耤󠇡
耩,耩󠇡
耫,耫󠇡
耯,耯󠇡
耴,耴󠇡
耵,耵󠇡
耶,耶󠇡
耺,耺󠇡
耼,耼󠇡
聉,"聉󠇡,聉󠇢"
聏,"聏󠇡,聏󠇢"
聘,聘󠇡
聧,聧󠇡
聴,聴󠇡
聻,聻󠇡
聼,聼󠇡
聽,聽󠇡
肎,肎󠇡
肒,肒󠇡
肔,肔󠇡
肚,肚󠇡
肣,肣󠇡
肤,肤󠇡
肧,肧󠇡
肵,肵󠇡
肷,肷󠇡
胇,胇󠇡
背,背󠇡
胓,胓󠇡
胕,胕󠇡
胖,胖󠇡
胗,胗󠇡
胜,胜󠇡
胢,胢󠇡
胲,胲󠇡
胶,胶󠇡
胻,胻󠇡
胿,"胿󠇡,胿󠇢"
脇,脇󠇡
脈,脈󠇡
脉,脉󠇡
脔,脔󠇡
脕,脕󠇡
脘,脘󠇡
脚,脚󠇡
脟,"脟󠇡,脟󠇢"
脥,脥󠇡
脧,脧󠇡
脯,脯󠇡
脱,脱󠇡
腃,"腃󠇡,腃󠇢"
腄,腄󠇡
腊,腊󠇡
腌,"腌󠇡,腌󠇢"
腏,"腏󠇡,腏󠇢"
腝,"腝󠇡,腝󠇢,腝󠇣,腝󠇤"
腞,腞󠇡
腧,腧󠇡
腪,腪󠇡
腽,腽󠇡
膀,"膀󠇡,膀󠇢,膀󠇣"
膁,"膁󠇡,膁󠇢"
膏,膏󠇡
膡,膡󠇡
膦,膦󠇡
膭,膭󠇡
膴,膴󠇡
膸,膸󠇡
膹,膹󠇡
膻,膻󠇡
膼,膼󠇡
臈,臈󠇡
臊,臊󠇡
臎,臎󠇡
臑,"臑󠇡,臑󠇢"
臒,臒󠇡
臢,臢󠇡
臦,臦󠇡
臩,臩󠇡
臭,臭󠇡
臯,臯󠇡
臰,臰󠇡
臷,臷󠇡
臽,臽󠇡
舃,舃󠇡
舅,舅󠇡
與,"與󠇡,與󠇢"
興,興󠇡
舍,舍󠇡
舎,舎󠇡
舑,舑󠇡
般,"般󠇡,般󠇢"
舼,舼󠇡
艀,艀󠇡
艁,艁󠇡
艌,艌󠇡
艮,艮󠇡
色,色󠇡
艵,艵󠇡
艽,艽󠇡
艾,艾󠇡
艿,艿󠇡
芎,"芎󠇡,芎󠇢"
芓,芓󠇡
芘,"芘󠇡,芘󠇢"
芞,芞󠇡
芧,芧󠇡
芪,芪󠇡
芴,芴󠇡
芾,芾󠇡
苁,"苁󠇡,苁󠇢,苁󠇣"
苔,苔󠇡
苤,苤󠇡
若,若󠇡
苨,苨󠇡
苲,苲󠇡
茄,茄󠇡
茇,茇󠇡
茈,"茈󠇡,茈󠇢"
茎,茎󠇡
茠,茠󠇡
茥,茥󠇡
茬,茬󠇡
茮,茮󠇡
茲,茲󠇡
荖,荖󠇡
荷,荷󠇡
荺,荺󠇡
荼,荼󠇡
莆,莆󠇡
莋,莋󠇡
莌,莌󠇡
莎,莎󠇡
莏,莏󠇡
莘,莘󠇡
莚,莚󠇡
莞,"莞󠇡,莞󠇢"
莣,莣󠇡
莥,莥󠇡
莨,莨󠇡
获,获󠇡
菀,"菀󠇡,菀󠇢"
菍,菍󠇡
菏,菏󠇡
菟,菟󠇡
華,"華󠇡,華󠇢"
菲,菲󠇡
菳,菳󠇡
萁,萁󠇡
萄,萄󠇡
萆,萆󠇡
萕,萕󠇡
萖,"萖󠇡,萖󠇢,萖󠇣"
萭,萭󠇡
萮,"萮󠇡,萮󠇢"
萯,萯󠇡
萳,萳󠇡
萷,"萷󠇡,萷󠇢"
萹,萹󠇡
落,"落󠇡,落󠇢"
萿,萿󠇡
葃,葃󠇡
葉,葉󠇡
著,"著󠇡,著󠇢,著󠇣,著󠇤"
葛,葛󠇡
葝,葝󠇡
葢,"葢󠇡,葢󠇢"
葥,葥󠇡
葷,葷󠇡
葻,葻󠇡
蒓,蒓󠇡
蒚,蒚󠇡
蒣,蒣󠇡
蒧,蒧󠇡
蒫,蒫󠇡
蒯,蒯󠇡
蒵,蒵󠇡
蓃,蓃󠇡
蓋,蓋󠇡
蓒,蓒󠇡
蓚,蓚󠇡
蓤,蓤󠇡
蓨,蓨󠇡
蓲,蓲󠇡
蓶,蓶󠇡
蓼,蓼󠇡
蔃,蔃󠇡
蔆,蔆󠇡
蔒,蔒󠇡
蔓,蔓󠇡
蔔,蔔󠇡
蔘,蔘󠇡
蔚,蔚󠇡
蔞,蔞󠇡
蔢,蔢󠇡
蔪,"蔪󠇡,蔪󠇢"
蔫,蔫󠇡
蔮,"蔮󠇡,蔮󠇢"
蔳,蔳󠇡
蔵,蔵󠇡
蕃,"蕃󠇡,蕃󠇢"
蕏,蕏󠇡
蕐,"蕐󠇡,蕐󠇢"
蕝,蕝󠇡
蕫,蕫󠇡
蕰,蕰󠇡
薁,薁󠇡
薄,薄󠇡
薉,薉󠇡
薋,薋󠇡
薍,薍󠇡
薚,薚󠇡
薟,薟󠇡
薢,薢󠇡
薥,薥󠇡
薬,薬󠇡
薲,薲󠇡
薶,薶󠇡
薸,薸󠇡
薺,薺󠇡
藉,藉󠇡
藋,藋󠇡
藏,藏󠇡
藖,藖󠇡
藘,藘󠇡
藦,藦󠇡
藨,藨󠇡
藬,藬󠇡
藲,藲󠇡
藴,藴󠇡
藷,藷󠇡
蘁,蘁󠇡
蘋,蘋󠇡
蘝,蘝󠇡
蘞,蘞󠇡
蘤,蘤󠇡
蘫,蘫󠇡
蘲,蘲󠇡
蘳,蘳󠇡
蘴,蘴󠇡
虎,虎󠇡
處,處󠇡
號,號󠇡
虨,虨󠇡
虪,虪󠇡
虫,虫󠇡
虬,"虬󠇡,虬󠇢"
虵,虵󠇡
虷,虷󠇡
虺,虺󠇡
虽,虽󠇡
蚄,蚄󠇡
蚆,蚆󠇡
蚋,蚋󠇡
蚔,蚔󠇡
蚕,蚕󠇡
蚙,蚙󠇡
蚝,蚝󠇡
蚦,蚦󠇡
蚵,蚵󠇡
蚸,蚸󠇡
蚼,蚼󠇡
蛅,蛅󠇡
蛆,蛆󠇡
蛇,蛇󠇡
蛊,蛊󠇡
蛤,蛤󠇡
蛦,蛦󠇡
蛸,蛸󠇡
蛿,蛿󠇡
蜄,蜄󠇡
蜍,蜍󠇡
蜎,蜎󠇡
蜕,蜕󠇡
蜚,蜚󠇡
蜠,"蜠󠇡,蜠󠇢"
蜡,"蜡󠇡,蜡󠇢"
蜪,蜪󠇡
蜬,蜬󠇡
蜯,蜯󠇡
蜲,蜲󠇡
蜼,蜼󠇡
蝀,蝀󠇡
蝃,蝃󠇡
蝆,蝆󠇡
蝍,蝍󠇡
蝎,蝎󠇡
蝤,蝤󠇡
蝦,蝦󠇡
蝭,蝭󠇡
蝳,蝳󠇡
蝷,蝷󠇡
蝹,蝹󠇡
蝻,蝻󠇡
蝽,蝽󠇡
螁,螁󠇡
螔,螔󠇡
螙,"螙󠇡,螙󠇢"
螝,螝󠇡
螞,螞󠇡
螣,螣󠇡
螹,螹󠇡
蟂,蟂󠇡
蟆,蟆󠇡
蟇,"蟇󠇡,蟇󠇢"
蟉,蟉󠇡
蟞,蟞󠇡
蟤,蟤󠇡
蟦,蟦󠇡
蟷,蟷󠇡
蟸,蟸󠇡
蟺,蟺󠇡
蠀,蠀󠇡
蠁,蠁󠇡
蠈,蠈󠇡
蠏,蠏󠇡
蠓,蠓󠇡
蠖,蠖󠇡
蠙,蠙󠇡
蠚,蠚󠇡
蠝,蠝󠇡
蠡,蠡󠇡
蠤,蠤󠇡
蠧,"蠧󠇡,蠧󠇢"
蠫,蠫󠇡
蠰,蠰󠇡
蠸,蠸󠇡
蠿,"蠿󠇡,蠿󠇢"
衂,衂󠇡
衃,衃󠇡
衇,衇󠇡
行,"行󠇡,行󠇢,行󠇣"
衕,衕󠇡
衙,衙󠇡
衝,衝󠇡
衣,衣󠇡
衩,衩󠇡
衰,衰󠇡
衳,衳󠇡
衵,衵󠇡
衸,衸󠇡
衹,衹󠇡
衺,"衺󠇡,衺󠇢,衺󠇣,衺󠇤"
衾,衾󠇡
袉,袉󠇡
袓,"袓󠇡,袓󠇢"
袚,袚󠇡
袜,袜󠇡
袢,袢󠇡
袤,袤󠇡
袳,"袳󠇡,袳󠇢"
袷,袷󠇡
袿,袿󠇡
裠,裠󠇡
裡,裡󠇡
裦,裦󠇡
裨,裨󠇡
裩,裩󠇡
裭,裭󠇡
裯,裯󠇡
裳,裳󠇡
